Position,#,Name,Height,University,Team
G,2,"Mosqueda, Manuel",1.8,National-U,Muntinlupa
G,7,"Ylagan, John Genmar",1.8,UPHSD,Muntinlupa
G,13,"Ortuoste, Jon Kervin",1.75,San Sebastian,Muntinlupa
F,14,"Saitanan, Jessie",1.93,Mapúa,Muntinlupa
F/C,16,"Dixon, Eduard",1.93,St. Benilde,Muntinlupa
F,17,"Destacamento, King",1.93,San Beda Alabang,Muntinlupa
F,21,"Peralta, Rey",1.88,UPHSD,Muntinlupa
G,32,"Bagatsing, Hyram",1.85,De La Salle,Muntinlupa
F,55,"Salaveria, Juan (HG)",1.91,UPHSD,Muntinlupa
G,0,"Vidal, John Arthur",1.75,UE,Mandaluyong
F,2,"Lim, Xian",1.88,UE,Mandaluyong
F/C,9,"Rivero, Prince",1.91,De La Salle,Mandaluyong
F/C,11,"Franco, Bernzon (EP)",1.93,Philippine Christian,Mandaluyong
F,15,"Javillonar, Jeff (EP)",1.91,National-U,Mandaluyong
G,23,"Nimes, Josan (EP)",1.91,Mapúa,Mandaluyong
G,27,"Torres, Thomas ",1.75,De La Salle,Mandaluyong
